"Time (s)","X (µT)","Y (µT)","Z (µT)"
7.321525292E0,-1.894300842E1,-3.955455017E1,1.605908203E1
7.522799292E0,-2.286904907E1,-3.673072815E1,1.752352905E1
7.724072292E0,-3.258630371E1,-2.946389008E1,1.520166016E1
7.925346292E0,-3.913240051E1,-2.081655502E1,1.165078735E1
8.126620292E0,-4.201768494E1,-1.645285416E1,4.640899658E0
8.327893583E0,-4.169338989E1,-1.685998917E1,3.016418457E0
8.529167583E0,-4.067840576E1,-1.826732635E1,6.661865234E0
8.730441583E0,-3.751100159E1,-2.465955734E1,7.642852783E0
8.931715583E0,-3.178608704E1,-3.268652344E1,6.068725586E0
9.132989583E0,-2.893324280E1,-3.571677017E1,3.482696533E0
9.334264208E0,-2.855961609E1,-3.564934540E1,2.314056396E0
9.535538208E0,-2.771945190E1,-3.670137024E1,2.738098145E0
9.736812208E0,-2.639027405E1,-3.746273041E1,5.969818115E0
9.938086208E0,-2.623608398E1,-3.691703033E1,1.046972656E1
1.013935996E1,-2.517816162E1,-3.396181870E1,1.935363770E1
1.034063496E1,-2.038789368E1,-3.274940872E1,2.607055664E1
1.054190896E1,-1.433323669E1,-3.326777649E1,2.927993774E1
1.074318296E1,-9.088638306E0,-3.483264542E1,2.950143433E1
1.094445696E1,-7.057098389E0,-3.719049072E1,2.727999878E1
1.114573083E1,-3.917831421E0,-3.973854065E1,2.382592773E1
1.134700583E1,1.883453369E0,-4.354560852E1,1.647201538E1
1.154827983E1,6.845169067E0,-4.414023209E1,1.101391602E1
1.174955483E1,9.146881104E0,-4.393978119E1,1.000616455E1
1.195082883E1,8.983398438E0,-4.296494293E1,1.227413940E1
1.215210367E1,5.276153564E0,-4.264772034E1,1.625057983E1
1.235337767E1,3.574066162E-1,-4.177315903E1,1.906692505E1
1.255465267E1,-9.523620605E0,-3.965129089E1,2.164788818E1
1.275592667E1,-1.982214355E1,-3.476019669E1,2.243524170E1
1.295720167E1,-2.788769531E1,-2.992561340E1,2.046569824E1
1.315847542E1,-3.299301147E1,-2.557587433E1,1.784695435E1
1.335975042E1,-3.315757751E1,-2.562094116E1,1.730245972E1
1.356102442E1,-2.750613403E1,-3.127095795E1,1.863998413E1
1.376229942E1,-2.140328979E1,-3.775701141E1,1.473535156E1
1.396357342E1,-1.850878906E1,-4.032394409E1,1.033386230E1
1.416484867E1,-1.714044189E1,-4.148759079E1,7.213989258E0
1.436612367E1,-1.727130127E1,-4.116475296E1,7.101501465E0
1.456739767E1,-1.735072327E1,-4.103021240E1,7.461914062E0
1.476867267E1,-1.744064331E1,-4.132059097E1,7.064941406E0
1.496994767E1,-1.712803650E1,-4.152541733E1,5.976074219E0
1.517122433E1,-1.598826599E1,-4.221666336E1,4.837554932E0
1.537249933E1,-1.215675354E1,-4.309228516E1,5.122100830E0
1.557377433E1,-6.717864990E0,-4.383122635E1,1.006579590E1
1.577504933E1,-1.681488037E0,-4.221224213E1,1.712991333E1
1.597632433E1,7.372436523E0,-3.903655624E1,2.184841919E1
1.617759892E1,1.302107239E1,-3.597601700E1,2.380239868E1
1.637887392E1,1.493893433E1,-3.410293579E1,2.517056274E1
1.658014892E1,1.527238464E1,-3.401559830E1,2.517761230E1
1.678142492E1,1.276033020E1,-3.619499588E1,2.362802124E1
1.698269992E1,8.411254883E0,-3.901655960E1,2.082177734E1
1.718397504E1,5.350799561E0,-4.150496674E1,1.674822998E1
1.738525004E1,3.078689575E0,-4.234688950E1,1.543862915E1
1.758652504E1,1.498611450E0,-4.251033401E1,1.527249146E1
1.778780104E1,-4.092620850E0,-4.159793472E1,1.685922241E1
1.798907604E1,-1.076463318E1,-3.920854187E1,1.945422363E1
1.819035042E1,-1.813021851E1,-3.557672501E1,2.088009644E1
1.839162542E1,-2.284455872E1,-3.160151672E1,2.244839478E1
1.859290142E1,-2.675167847E1,-2.576234055E1,2.519305420E1
1.879417642E1,-3.043122864E1,-2.064278412E1,2.562002563E1
1.899545242E1,-3.025115967E1,-1.989388275E1,2.602951050E1
1.919672758E1,-2.899052429E1,-2.201298904E1,2.570291138E1
1.939800358E1,-2.320816040E1,-2.877721405E1,2.553277588E1
1.959927958E1,-1.912760925E1,-3.390318680E1,2.242391968E1
1.980055458E1,-1.687046814E1,-3.702550888E1,1.884725952E1
2.000183058E1,-1.448768616E1,-3.920736313E1,1.659020996E1
2.020310733E1,-1.313189697E1,-3.994537735E1,1.622851562E1
2.040438333E1,-1.099148560E1,-4.051195908E1,1.607504272E1
2.060565933E1,-8.264892578E0,-4.094252014E1,1.689453125E1
2.080693533E1,-3.735351562E0,-4.089319611E1,1.903820801E1
2.100821033E1,5.089263916E-1,-4.009619141E1,2.099841309E1
2.120948604E1,1.326126099E0,-3.917929840E1,2.249328613E1
2.141076204E1,-1.713882446E0,-3.915081406E1,2.299200439E1
2.161203704E1,-6.254013062E0,-3.869715881E1,2.297753906E1
2.181331304E1,-7.421661377E0,-3.850487900E1,2.280624390E1
2.201458904E1,-4.970382690E0,-3.848294449E1,2.306723022E1
2.221586417E1,-2.608062744E0,-4.069215012E1,1.895489502E1
2.241714017E1,-2.413894653E0,-4.151386642E1,1.634957886E1
2.261841617E1,-1.294799805E0,-4.115912628E1,1.693014526E1
2.281969117E1,1.682662964E0,-3.936461258E1,2.056698608E1
2.302096717E1,4.359069824E0,-3.644549561E1,2.492706299E1
2.322224279E1,5.287963867E0,-3.326216507E1,2.880917358E1
2.342351779E1,1.757919312E0,-3.129603195E1,3.138757324E1
2.362479379E1,-1.012100220E0,-3.022317886E1,3.261230469E1
2.382606879E1,5.899047852E-1,-2.947993469E1,3.327526855E1
2.402734479E1,5.354568481E0,-2.583804321E1,3.552615356E1
2.422862054E1,1.127877808E1,-2.496460724E1,3.459967041E1
2.442989654E1,1.393041992E1,-2.609819794E1,3.247497559E1
2.463117254E1,1.822966003E1,-2.647180939E1,3.012121582E1
2.483244854E1,1.843240356E1,-2.466362381E1,3.101486206E1
2.503372454E1,1.461753845E1,-2.510442352E1,3.281423950E1
2.523499971E1,8.014114380E0,-2.987179947E1,3.125057983E1
2.543627571E1,2.017288208E0,-3.479904175E1,2.732366943E1
2.563755171E1,-6.882568359E0,-3.636926651E1,2.370703125E1
2.583882771E1,-1.432366943E1,-3.518725586E1,2.199557495E1
2.604010371E1,-1.612188721E1,-3.434009933E1,2.251736450E1
2.624137971E1,-1.539993286E1,-3.233238983E1,2.594903564E1
2.644265571E1,-1.474308777E1,-3.093380356E1,2.812344360E1
2.664393171E1,-1.306143188E1,-2.944357300E1,3.050491333E1
2.684520771E1,-1.464237976E1,-2.526079941E1,3.291644287E1
2.704648371E1,-2.148028564E1,-2.048862839E1,3.227844238E1
2.724775967E1,-2.673564148E1,-1.702297211E1,2.987719727E1
2.744903667E1,-2.674880981E1,-1.777004623E1,2.967269897E1
2.765031267E1,-2.115303040E1,-2.342042923E1,3.063540649E1
2.785158867E1,-1.329757690E1,-3.150008392E1,2.832098389E1
2.805286467E1,-5.032684326E0,-3.828940964E1,2.164608765E1
2.825414254E1,-3.613464355E0,-4.085099792E1,1.686752319E1
2.845541954E1,-2.253356934E0,-4.210365295E1,1.256973267E1
2.865669654E1,-3.549148560E0,-4.226002121E1,1.164550781E1
2.885797354E1,-6.585601807E0,-4.186473846E1,1.182656860E1
2.905925054E1,-9.074874878E0,-4.123824692E1,1.300509644E1
2.926052704E1,-1.169352722E1,-4.015454102E1,1.475781250E1
2.946180304E1,-1.255659485E1,-3.938719940E1,1.543850708E1
2.966308004E1,-8.862930298E0,-3.944612122E1,1.805487061E1
2.986435704E1,-1.096939087E0,-3.846275711E1,2.217617798E1
3.006563404E1,8.615447998E0,-3.422676086E1,2.552789307E1
3.026691042E1,1.629295349E1,-2.974023056E1,2.623062134E1
3.046818742E1,1.740400696E1,-2.757955551E1,2.751919556E1
3.066946342E1,1.751521301E1,-2.788388443E1,2.758767700E1
3.087073942E1,1.702186584E1,-3.014396286E1,2.577413940E1
3.107201642E1,1.532460022E1,-3.013345337E1,2.678695679E1
3.127329154E1,1.421667480E1,-2.962767792E1,2.782278442E1
3.147456854E1,1.068812561E1,-3.081416321E1,2.854745483E1
3.167584454E1,7.109191895E0,-3.240233231E1,2.797821045E1
3.187712154E1,2.868850708E0,-3.421819305E1,2.696908569E1
3.207839854E1,-6.288146973E-2,-3.545380402E1,2.594296265E1
3.227967508E1,-2.843338013E0,-3.557682419E1,2.527246094E1
3.248095208E1,-5.894393921E0,-3.573490524E1,2.471734619E1
3.268222908E1,-9.952102661E0,-3.426934433E1,2.537463379E1
3.288350608E1,-1.515945435E1,-3.216279984E1,2.523043823E1
3.308478308E1,-1.926385498E1,-2.974518585E1,2.497927856E1
3.328606054E1,-2.366226196E1,-2.483930588E1,2.607931519E1
3.348733754E1,-2.946762085E1,-1.929822540E1,2.347949219E1
3.368861554E1,-3.388342285E1,-1.416747284E1,1.996746826E1
3.388989254E1,-3.395248413E1,-1.329579926E1,2.067868042E1
3.409116954E1,-3.059512329E1,-1.676639175E1,2.371310425E1
3.429244729E1,-2.946981812E1,-2.004106522E1,2.290374756E1
3.449372529E1,-2.908602905E1,-2.099399567E1,2.261090088E1
3.469500229E1,-2.406404114E1,-2.575672150E1,2.374774170E1
3.489628029E1,-1.870710754E1,-3.009170914E1,2.437054443E1
3.509755929E1,-1.455390930E1,-3.423974991E1,2.136108398E1
3.529883708E1,-1.239138794E1,-3.725009155E1,1.752523804E1
3.550011508E1,-1.228976440E1,-3.807654572E1,1.621609497E1
3.570139408E1,-1.260040283E1,-3.761902618E1,1.678784180E1
3.590267208E1,-1.223629761E1,-3.817117310E1,1.593844604E1
3.610395108E1,-1.151300049E1,-3.794999695E1,1.711343384E1
3.630522892E1,-1.061297607E1,-3.716245651E1,1.913076782E1
3.650650792E1,-1.057290649E1,-3.674559784E1,2.035018921E1
3.670778592E1,-1.083262634E1,-3.589921188E1,2.143374634E1
3.690906492E1,-1.057000732E1,-3.616302109E1,2.170989990E1
3.711034292E1,-9.800094604E0,-3.593842316E1,2.198474121E1
3.731162067E1,-6.417938232E0,-3.522982788E1,2.399502563E1
3.751289867E1,-1.198074341E0,-3.468407822E1,2.543698120E1
3.771417767E1,1.347503662E-1,-3.462382507E1,2.512130737E1
3.791545567E1,1.110076904E-1,-3.484997177E1,2.488653564E1
3.811673367E1,-2.253265381E0,-3.466077423E1,2.527941895E1
3.831801254E1,-5.782897949E0,-3.467759705E1,2.484063721E1
3.851929054E1,-7.363647461E0,-3.443005371E1,2.464407349E1
3.872056854E1,-2.891128540E0,-3.427849960E1,2.536575317E1
3.892184754E1,3.534103394E0,-3.390711975E1,2.535598755E1
3.912312554E1,8.085815430E0,-3.236751175E1,2.609732056E1
3.932440404E1,1.084419250E1,-2.971381760E1,2.759921265E1
3.952568204E1,1.191783142E1,-2.934868622E1,2.762103271E1
3.972696104E1,7.835739136E0,-3.171574402E1,2.669628906E1
3.992823904E1,4.160308838E0,-3.209600449E1,2.712609863E1
4.012951804E1,1.724777222E0,-3.237787628E1,2.700775146E1
4.033079517E1,1.405639648E-1,-3.316222000E1,2.599993896E1
4.053207317E1,-2.809753418E-1,-3.440420914E1,2.452755737E1
4.073335217E1,8.291946411E0,-3.465417099E1,2.221774292E1
4.093463017E1,1.938014221E1,-3.047497559E1,2.008612061E1
4.113590917E1,2.340055847E1,-2.839884186E1,1.750476074E1
4.133718704E1,2.309257507E1,-2.844495773E1,1.800369263E1
4.153846604E1,2.215896606E1,-2.891533279E1,1.863269043E1
4.173974404E1,2.100891113E1,-2.907508087E1,1.945248413E1
4.194102304E1,1.945951843E1,-3.039007568E1,1.956698608E1
4.214230104E1,1.755149841E1,-3.147711563E1,1.999890137E1
4.234358017E1,1.616366577E1,-3.222237396E1,2.063992310E1
4.254485817E1,1.545637512E1,-3.223512268E1,2.100875854E1
4.274613717E1,1.428675842E1,-3.216982651E1,2.207083130E1
4.294741517E1,1.058880615E1,-3.288620758E1,2.382870483E1
4.314869317E1,8.855651855E0,-3.248468399E1,2.507891846E1
4.334997033E1,1.110418701E1,-3.125608063E1,2.552532959E1
4.355124833E1,1.701539612E1,-3.025881195E1,2.304022217E1
4.375252633E1,1.956599426E1,-2.894149017E1,2.226141357E1
4.395380433E1,1.941883850E1,-2.889748764E1,2.230947876E1
4.415508233E1,1.870359802E1,-2.889701462E1,2.301937866E1
4.435636142E1,1.817437744E1,-2.904249954E1,2.328375244E1
4.455763942E1,1.408624268E1,-3.104858398E1,2.427505493E1
4.475891742E1,7.478164673E0,-3.136951065E1,2.694296265E1
4.496019542E1,3.243087769E0,-3.261557770E1,2.653887939E1
4.516147342E1,-2.116699219E-1,-3.675753021E1,2.052923584E1
4.536275154E1,-3.249740601E0,-3.781776428E1,1.832473755E1
4.556402954E1,-4.080902100E0,-3.770373535E1,1.799505615E1
4.576530754E1,-4.733810425E0,-3.738261414E1,1.868228149E1
4.596658654E1,-6.494857788E0,-3.820875168E1,1.642517090E1
4.616786433E1,-1.053524780E1,-3.894152451E1,1.129562378E1
4.636914233E1,-1.368351746E1,-3.880253220E1,8.780334473E0
4.657042133E1,-1.568751526E1,-3.783916092E1,9.643798828E0
4.677169933E1,-1.512557983E1,-3.661855316E1,1.482180786E1
4.697297833E1,-1.489089966E1,-3.454505157E1,1.954983521E1
4.717425667E1,-1.399832153E1,-3.124635315E1,2.477725220E1
4.737553467E1,-1.174890137E1,-2.709581375E1,3.001965332E1
4.757681367E1,-1.142265320E1,-2.499420166E1,3.196661377E1
4.777809167E1,-1.143400574E1,-2.356113815E1,3.254458618E1
4.797937067E1,-1.601162720E1,-2.482707596E1,2.979226685E1
4.818064842E1,-2.035072327E1,-2.485505676E1,2.665481567E1
4.838192742E1,-2.204629517E1,-2.445874405E1,2.540502930E1
4.858320542E1,-2.151374817E1,-2.472317886E1,2.592828369E1
4.878448442E1,-1.951679993E1,-2.760794449E1,2.495770264E1
4.898576242E1,-1.706726074E1,-3.265664673E1,2.056561279E1
4.918704242E1,-1.610566711E1,-3.434466934E1,1.817446899E1
4.938832042E1,-1.250590515E1,-3.779952240E1,1.489788818E1
4.958959942E1,-7.480178833E0,-3.869343567E1,1.547952271E1
4.979087842E1,-2.888168335E0,-3.834638977E1,1.755047607E1
4.999215642E1,1.896286011E0,-3.703329468E1,1.974313354E1
5.019343354E1,1.953262329E0,-3.511218262E1,2.306716919E1
5.039471254E1,1.765304565E0,-3.209792709E1,2.701937866E1
5.059599054E1,4.806091309E0,-2.890462494E1,2.998565674E1
5.079726854E1,9.319183350E0,-2.709933853E1,3.032693481E1
5.099854754E1,1.050181580E1,-2.627394485E1,3.072140503E1
5.119982592E1,8.773925781E0,-2.820252228E1,2.959671021E1
5.140110492E1,3.874801636E0,-3.270547485E1,2.621829224E1
5.160238392E1,-1.233367920E0,-3.634193039E1,2.205627441E1
5.180366192E1,-6.279876709E0,-3.700907516E1,1.950360107E1
5.200494092E1,-1.059510803E1,-3.699338531E1,1.747457886E1
5.220621979E1,-1.282797241E1,-3.604821777E1,1.792163086E1
5.240749779E1,-1.391596985E1,-3.404078674E1,2.109143066E1
5.260877679E1,-1.475259399E1,-3.150961685E1,2.427911377E1
5.281005579E1,-1.846095276E1,-2.745716095E1,2.614178467E1
5.301133479E1,-2.199481201E1,-2.396266174E1,2.676269531E1
5.321261417E1,-2.195527649E1,-2.507788849E1,2.592706299E1
5.341389317E1,-1.725057983E1,-2.824671555E1,2.600759888E1
5.361517217E1,-1.279650879E1,-3.392990875E1,2.218511963E1
5.381645117E1,-9.984420776E0,-3.713235474E1,1.839398193E1
5.401773117E1,-8.818634033E0,-3.775940323E1,1.705932617E1
5.421900996E1,-9.116760254E0,-3.777693558E1,1.692465210E1
5.442028896E1,-9.653427124E0,-3.770077515E1,1.734448242E1
5.462156896E1,-1.138648987E1,-3.660034561E1,1.841802979E1
5.482284796E1,-1.193545532E1,-3.657304382E1,1.797906494E1
5.502412696E1,-1.500312805E1,-3.487593460E1,1.900216675E1
5.522540558E1,-2.279589844E1,-3.119280624E1,1.706274414E1
5.542668558E1,-2.980990601E1,-2.637702560E1,1.282080078E1
5.562796458E1,-3.333792114E1,-2.246884155E1,1.178558350E1
5.582924358E1,-3.295777893E1,-2.061915207E1,1.555371094E1
5.603052258E1,-3.151612854E1,-1.993282700E1,1.974417114E1
5.623180221E1,-2.949465942E1,-2.073734283E1,2.199893188E1
5.643308121E1,-2.480828857E1,-2.349556351E1,2.531509399E1
5.663436021E1,-1.885823059E1,-2.560509872E1,2.868685913E1
5.683564021E1,-1.807809448E1,-2.534252930E1,2.936712646E1
5.703691921E1,-2.214326477E1,-2.170544434E1,2.945474243E1
5.723819771E1,-2.508450317E1,-1.957873154E1,2.826724243E1
