"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.845518758E1,1.416579819E1,-6.012122345E1,-4.235717773E0
1.865647458E1,1.286778641E1,-6.055814743E1,-2.629302979E0
1.885776058E1,1.210712051E1,-6.063429260E1,-9.625244141E-2
1.905904758E1,1.329796982E1,-6.035266876E1,2.370330811E0
1.926033458E1,1.461465836E1,-6.031556702E1,1.168395996E0
1.946162158E1,1.238316727E1,-6.093994522E1,-2.007751465E0
1.966290858E1,8.260845184E0,-6.127659988E1,-3.122375488E0
1.986419558E1,7.693275452E0,-6.142455673E1,-2.716369629E0
2.006548358E1,6.770244598E0,-6.190648270E1,-3.526672363E0
2.026677058E1,5.150165558E0,-6.174734497E1,-8.752746582E0
2.046805771E1,5.476398468E0,-6.154032898E1,-1.152194214E1
2.066934571E1,6.939598083E0,-6.092152023E1,-1.332479858E1
2.087063271E1,8.443729401E0,-5.977855682E1,-1.631448364E1
2.107192071E1,9.263324738E0,-5.931088638E1,-1.814108276E1
2.127320771E1,8.719982147E0,-5.914324951E1,-1.928179932E1
2.147449488E1,8.724964142E0,-5.944948196E1,-1.829541016E1
2.167578188E1,8.453464508E0,-6.000133133E1,-1.822250366E1
2.187706988E1,8.562129974E0,-5.932154083E1,-1.890197754E1
2.207835688E1,9.279026031E0,-5.888482285E1,-2.000128174E1
2.227964388E1,9.012599945E0,-5.857022476E1,-2.177383423E1
2.248093200E1,8.477573395E0,-5.828289413E1,-2.270364380E1
2.268221900E1,8.126598358E0,-5.819886780E1,-2.245114136E1
2.288350600E1,7.180519104E0,-5.866458130E1,-2.067767334E1
2.308479300E1,7.118843079E0,-5.982647705E1,-1.806430054E1
2.328608100E1,7.237518311E0,-6.037857437E1,-1.672482300E1
2.348736883E1,7.664741516E0,-6.003458023E1,-1.706719971E1
2.368865483E1,7.524383545E0,-5.993681717E1,-1.770330811E1
2.388994283E1,7.201946259E0,-5.994546509E1,-1.826269531E1
2.409122983E1,7.057685852E0,-5.988956451E1,-1.834124756E1
2.429251683E1,6.950931549E0,-5.995606995E1,-1.725421143E1
2.449380296E1,8.361408234E0,-6.042074203E1,-1.355279541E1
2.469508896E1,1.037594986E1,-6.100585556E1,-8.796936035E0
2.489637596E1,1.393099594E1,-6.076256943E1,-4.419128418E0
2.509766296E1,1.634249496E1,-6.029800034E1,-9.433288574E-1
2.529894996E1,1.592798996E1,-6.037064743E1,-3.309631348E-1
2.550023671E1,1.530702591E1,-6.051507187E1,4.660034180E-1
2.570152271E1,1.448960495E1,-6.057336044E1,1.348022461E0
2.590280971E1,1.341564560E1,-6.075265503E1,-4.539794922E-1
2.610409671E1,1.147503281E1,-6.122901535E1,-2.925811768E0
2.630538371E1,9.576709747E0,-6.140838623E1,-6.839019775E0
2.650666962E1,1.024471664E1,-6.111142349E1,-7.171417236E0
2.670795663E1,1.344515610E1,-6.026382065E1,-5.200958252E0
2.690924363E1,1.731133652E1,-5.916905975E1,-3.985778809E0
2.711053063E1,2.019876480E1,-5.819279099E1,-2.586517334E0
2.731181763E1,2.203990555E1,-5.747087097E1,-3.823059082E0
2.751310525E1,2.213209915E1,-5.774458313E1,-4.352294922E0
2.771439125E1,2.153463364E1,-5.784894180E1,-3.793884277E0
2.791567825E1,2.203140640E1,-5.759399033E1,-4.237548828E0
2.811696525E1,2.217979050E1,-5.740905380E1,-6.144226074E0
2.831825125E1,2.241548538E1,-5.703844452E1,-7.473052979E0
2.851953796E1,2.306035995E1,-5.685588837E1,-7.141601562E0
2.872082496E1,2.323833847E1,-5.702483368E1,-6.743682861E0
