"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.456270967E1,1.446442032E1,-3.784870911E1,1.075057983E1
2.476399917E1,2.209592056E1,-3.354039764E1,8.081512451E0
2.496528817E1,2.319149399E1,-3.200574493E1,9.479705811E0
2.516657817E1,2.434870529E1,-3.210881805E1,7.681457520E0
2.536786717E1,2.553047562E1,-3.246284485E1,4.084808350E0
2.556915717E1,2.562680435E1,-3.236958694E1,5.248535156E0
2.577044704E1,2.768746567E1,-3.083039856E1,7.250640869E0
2.597173604E1,2.972561264E1,-2.812336349E1,1.018280029E1
2.617302604E1,3.030411911E1,-2.772511101E1,1.048007202E1
2.637431604E1,2.879423904E1,-2.978039169E1,9.252746582E0
2.657560604E1,2.541924667E1,-3.337832642E1,8.325103760E0
2.677689692E1,2.200238419E1,-3.756931686E1,3.575225830E0
2.697818692E1,2.182238388E1,-3.841693115E1,-2.185333252E0
2.717947692E1,2.106402969E1,-3.913925934E1,-4.483520508E0
2.738076692E1,2.069718552E1,-3.929788971E1,-3.474548340E0
2.758205692E1,2.254806137E1,-3.815306854E1,-3.036071777E0
2.778334733E1,2.265020370E1,-3.796371841E1,1.799957275E0
2.798463733E1,2.140561295E1,-3.827223969E1,6.531219482E0
2.818592833E1,2.084202194E1,-3.834664917E1,8.107147217E0
2.838721833E1,2.076630020E1,-3.814293671E1,9.576934814E0
2.858850933E1,1.964580917E1,-3.862890625E1,1.064495850E1
2.878980058E1,2.022946548E1,-3.821511841E1,9.618164062E0
2.899109058E1,2.138566971E1,-3.812105560E1,7.078765869E0
2.919238158E1,2.222796249E1,-3.748659515E1,5.734039307E0
2.939367258E1,2.338554764E1,-3.688896942E1,3.436950684E0
2.959496358E1,2.320930862E1,-3.683444595E1,4.990875244E0
2.979625417E1,2.315787125E1,-3.718297577E1,6.517639160E-1
2.999754517E1,2.389525223E1,-3.655210114E1,-2.149536133E0
3.019883717E1,2.355736160E1,-3.566448212E1,-7.582946777E0
3.040012817E1,2.010477829E1,-3.619211960E1,-1.285610962E1
3.060141917E1,1.692351151E1,-3.763005447E1,-1.332031250E1
3.080271033E1,1.509686661E1,-3.810049438E1,-1.508819580E1
3.100400133E1,1.862069321E1,-3.654888916E1,-1.529855347E1
3.120529333E1,2.077724075E1,-3.411119080E1,-1.987817383E1
3.140658533E1,2.186904526E1,-3.311014557E1,-2.112078857E1
3.160787733E1,2.199618912E1,-3.408775330E1,-1.978466797E1
3.180917029E1,2.132181168E1,-3.508699417E1,-1.833132935E1
3.201046229E1,2.396393204E1,-3.417707062E1,-1.750408936E1
3.221175429E1,2.682860947E1,-3.269796371E1,-1.736239624E1
3.241304729E1,3.058700180E1,-3.085577202E1,-1.508718872E1
3.261433929E1,3.061062241E1,-3.043101120E1,-1.652618408E1
3.281563258E1,2.920933151E1,-3.047989845E1,-1.838635254E1
3.301692558E1,2.689632797E1,-2.967385483E1,-2.362347412E1
3.321821858E1,2.082295609E1,-2.834666824E1,-3.161459351E1
3.341951158E1,1.232862473E1,-2.909207535E1,-3.500308228E1
3.362080458E1,9.948474884E0,-3.180188370E1,-3.371508789E1
3.382209729E1,1.395711899E1,-3.516998672E1,-2.711776733E1
3.402339029E1,1.916468430E1,-3.604506683E1,-2.170199585E1
3.422468329E1,2.145010757E1,-3.487794876E1,-2.191796875E1
3.442597629E1,1.997958755E1,-3.474240112E1,-2.316702271E1
3.462726929E1,1.835470963E1,-3.522946930E1,-2.424584961E1
3.482856171E1,1.746928787E1,-3.553136826E1,-2.394381714E1
3.502985471E1,1.897752762E1,-3.489305878E1,-2.303924561E1
3.523114771E1,2.054599380E1,-3.470592117E1,-2.241763306E1
3.543244071E1,2.235927200E1,-3.432496643E1,-2.055062866E1
3.563373371E1,2.271390915E1,-3.403208160E1,-2.080194092E1
3.583502621E1,2.090110397E1,-3.413610840E1,-2.311282349E1
3.603631921E1,1.853128433E1,-3.524123764E1,-2.433013916E1
3.623761221E1,1.621565628E1,-3.589824295E1,-2.589816284E1
3.643890521E1,1.571518326E1,-3.537217331E1,-2.817272949E1
3.664019821E1,1.860803604E1,-3.370191193E1,-2.823336792E1
3.684149154E1,2.219250870E1,-3.206473541E1,-2.708789062E1
3.704278454E1,2.433805466E1,-3.010125351E1,-2.807028198E1
3.724407754E1,2.790726089E1,-2.761411095E1,-2.813061523E1
3.744536954E1,2.704166794E1,-2.620121384E1,-3.157250977E1
3.764666254E1,2.535750198E1,-2.621960068E1,-3.342120361E1
3.784795608E1,2.625137711E1,-2.715069199E1,-3.235647583E1
3.804924908E1,2.799106216E1,-2.707397652E1,-3.031524658E1
3.825054208E1,3.328994370E1,-2.360734177E1,-2.704022217E1
3.845183408E1,2.839350510E1,-2.761943436E1,-2.852792358E1
3.865312708E1,2.969923782E1,-3.239610291E1,-2.007861328E1
3.885442008E1,2.995835495E1,-3.594158936E1,-9.052764893E0
3.905571208E1,2.935109329E1,-3.743329620E1,8.518981934E-1
3.925700508E1,2.924538803E1,-3.714747620E1,5.444641113E0
3.945829708E1,2.838327408E1,-3.834566116E1,4.771209717E0
3.965959008E1,2.831714249E1,-3.912721252E1,4.266693115E0
3.986088258E1,2.948649216E1,-3.905521774E1,1.691284180E0
4.006217458E1,2.865453720E1,-3.990606689E1,5.476379395E-1
4.026346758E1,2.784516525E1,-4.015646362E1,2.017456055E0
4.046476058E1,2.773389053E1,-3.993315887E1,3.578033447E0
4.066605383E1,2.795086288E1,-3.917996979E1,5.891479492E0
