Unnamed: 0,entry_num,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Time (s).1,X (rad/s),Y (rad/s),Z (rad/s),name_climber,grading,num_attempt,fall_top,climbers_rating,snippet
8677,1,127.0073872,0.4414302832,-0.7058489764,-0.8540180057,127.0073872,0.1934559047,0.06551951915,0.3004856706,sien,4b,1,0,easy,last_seconds
8678,1,127.2086507,-0.3268171088,3.071581559,1.166182577,127.2086507,-0.06255904585,-0.1729425192,0.1599245667,sien,4b,1,0,easy,last_seconds
8679,1,127.4099137,-1.087703003,0.07062033176,3.311949484,127.4099137,-0.09974426031,0.09507970512,-0.07818108797,sien,4b,1,0,easy,last_seconds
8680,1,127.6111767,-0.4499214636,-0.559465102,3.227078319,127.6111767,-0.3131800592,-0.004063850734,-0.2194375396,sien,4b,1,0,easy,last_seconds
8681,1,127.8124397,1.114078184,-1.289232699,-1.149186621,127.8124397,0.1701284051,0.4270493686,0.0283943899,sien,4b,1,0,easy,last_seconds
8682,1,128.0137027,0.9680467509,0.07812932611,-1.958707462,128.0137027,0.02387965843,-0.211358726,0.2189932466,sien,4b,1,0,easy,last_seconds
8406,1,72.46536508,-1.396557465,-0.386050719,-0.1411868691,72.46536508,-0.1545796245,0.2527834475,-0.1110901535,sien,4b,1,0,easy,random_snippet
8407,1,72.66662608,-0.7178179345,0.2136093128,-0.2027270597,72.66662608,-0.1620873362,0.2101761103,0.1457715034,sien,4b,1,0,easy,random_snippet
8408,1,72.86788808,-1.410411858,-1.107947963,0.6856468463,72.86788808,0.03785907477,-0.1084441021,0.4328584075,sien,4b,1,0,easy,random_snippet
8409,1,73.06914946,0.2903554435,-0.2089403111,0.2000086526,73.06914946,-0.06266798079,-0.1340824664,0.2375014126,sien,4b,1,0,easy,random_snippet
8410,1,73.27041046,0.401505714,0.1126869553,-0.2572664155,73.27041046,-0.1055126265,-0.1975289285,0.1175931394,sien,4b,1,0,easy,random_snippet
8411,1,73.47167246,-0.478201449,-0.3855700779,0.03188541513,73.47167246,0.09194556624,-0.03486559913,-0.1151317358,sien,4b,1,0,easy,random_snippet
8412,1,73.67293346,0.4299453284,0.2279010773,0.2624289588,73.67293346,-0.01248364337,-0.06570047885,0.05567755178,sien,4b,1,0,easy,random_snippet
8413,1,73.87419446,0.3186644091,1.401791015,0.8394426513,73.87419446,-0.09991748631,0.06835015863,-0.04444815964,sien,4b,1,0,easy,random_snippet
8414,1,74.0754555,-0.1101753569,1.341391616,1.307737382,74.0754555,0.1238704324,-0.174614206,0.06288673729,sien,4b,1,0,easy,random_snippet
8415,1,74.2767165,0.9422056391,0.9681784594,-1.35733405,74.2767165,0.328094542,0.5282213688,0.2085153759,sien,4b,1,0,easy,random_snippet
8416,1,74.4779765,0.7569789304,-0.5764132565,-1.569923608,74.4779765,0.3138602078,1.042672396,0.6615476608,sien,4b,1,0,easy,random_snippet
8417,1,74.6792375,-0.8015927473,-0.5149970269,-0.2686233894,74.6792375,0.3017126918,0.5799402595,0.6301013231,sien,4b,1,0,easy,random_snippet
8418,1,74.8804985,-2.363722602,-1.836197038,0.9001542914,74.8804985,0.2564116716,0.3311938643,0.6531205773,sien,4b,1,0,easy,random_snippet
8419,1,75.08175971,-0.05191684306,0.6099932313,-0.1112525602,75.08175971,0.007464716211,0.4963390529,0.393919915,sien,4b,1,0,easy,random_snippet
8420,1,75.28301971,-0.4366864371,1.516094141,-0.1033693989,75.28301971,-0.1590242386,-0.1963860542,0.1285602301,sien,4b,1,0,easy,random_snippet
8421,1,75.48428071,-1.005089008,0.4054003251,0.08465836365,75.48428071,-0.1916809678,-0.3122549057,0.02447830886,sien,4b,1,0,easy,random_snippet
8422,1,75.68554171,-1.080013475,-0.1233674794,-0.332369771,75.68554171,-0.07123832405,-0.7222819924,0.3089919984,sien,4b,1,0,easy,random_snippet
8423,1,75.88680271,0.04169766426,-0.3286287224,-0.7979975867,75.88680271,-0.256660074,-0.5508100986,0.5258077979,sien,4b,1,0,easy,random_snippet
8424,1,76.08806246,0.5156501609,-0.9055278826,-0.2228689635,76.08806246,-0.524164319,-0.2807707191,0.36190328,sien,4b,1,0,easy,random_snippet
8425,1,76.28932346,0.01426428258,-0.04876928687,0.1296561599,76.28932346,-0.3608544171,0.3277386129,0.2604490817,sien,4b,1,0,easy,random_snippet
8426,1,76.49058446,0.1997835714,-0.3089276987,0.03301104982,76.49058446,-0.3606293201,0.01061682776,0.07148358971,sien,4b,1,0,easy,random_snippet
8427,1,76.69184446,0.6514774722,-0.01741066933,0.5962581217,76.69184446,-0.4221281409,0.07991449535,0.1619706005,sien,4b,1,0,easy,random_snippet
8428,1,76.89310546,-0.442411446,0.3243889064,-0.334776485,76.89310546,-0.6115096807,-0.1038666144,-0.04959125817,sien,4b,1,0,easy,random_snippet
8429,1,77.09436571,-0.7213861978,-1.235791487,0.2111780405,77.09436571,-0.4925636649,0.02744686604,-0.628542304,sien,4b,1,0,easy,random_snippet
8430,1,77.29562671,-0.8256063849,0.792142185,-0.5217131388,77.29562671,-0.2062237412,0.005075148772,-0.5499571562,sien,4b,1,0,easy,random_snippet
8431,1,77.49688771,0.09652466655,0.07368719637,0.1965404132,77.49688771,-0.1940171272,0.04974067584,-0.3035107851,sien,4b,1,0,easy,random_snippet
8432,1,77.69814771,0.1198725986,0.1750241214,-0.09697139382,77.69814771,-0.2809657156,-0.2450476885,-0.3566608429,sien,4b,1,0,easy,random_snippet
8433,1,77.89940871,0.2624739093,-0.3114577889,0.007263703644,77.89940871,-0.1982685775,0.001371974591,-0.2515795231,sien,4b,1,0,easy,random_snippet
8434,1,78.100669,-0.451035212,0.5124493951,0.9823143956,78.100669,0.1585995257,0.2280685008,-0.291446507,sien,4b,1,0,easy,random_snippet
8435,1,78.301929,-0.5367694268,0.1573906732,0.3720691493,78.301929,0.006519293878,-0.1707681715,-0.8160092831,sien,4b,1,0,easy,random_snippet
8436,1,78.50319,0.2415215814,0.230528816,0.5042165154,78.50319,0.4194548428,-0.02063856646,-0.2305192351,sien,4b,1,0,easy,random_snippet
8437,1,78.70445,0.4408338672,-0.6839020371,-0.740733465,78.70445,0.5976314545,0.1799300462,0.3748782575,sien,4b,1,0,easy,random_snippet
8438,1,78.905711,1.908120422,-1.326582958,0.05989412628,78.905711,0.3522764146,-0.1093198434,0.6567693949,sien,4b,1,0,easy,random_snippet
8439,1,79.10697258,-0.5844140017,-0.8282545888,0.9074200416,79.10697258,0.5916330218,-0.3494704664,-0.05203268677,sien,4b,1,0,easy,random_snippet
8440,1,79.30823258,0.1092069849,1.081754776,-0.8022204459,79.30823258,0.408703655,-1.045179725,0.07163262367,sien,4b,1,0,easy,random_snippet
8441,1,79.50949358,1.639315732,-1.671829467,0.9465487316,79.50949358,0.2082825005,-0.4960834086,-0.4315692186,sien,4b,1,0,easy,random_snippet
8442,1,79.71075458,-0.6673371676,-0.1149164987,-0.3872493982,79.71075458,0.1907318532,0.1907461137,-0.1988357604,sien,4b,1,0,easy,random_snippet
8443,1,79.91201458,1.422354796,1.010649126,-1.297008034,79.91201458,-0.01971730217,0.6155805588,-0.463536948,sien,4b,1,0,easy,random_snippet
8444,1,80.11327525,-0.9148044902,0.2296675211,-0.247613503,80.11327525,-0.5149543285,0.5614430308,-0.4001925588,sien,4b,1,0,easy,random_snippet
8445,1,80.31453625,0.6641150594,0.08959220767,-0.4846816988,80.31453625,-0.7785887122,0.7484829426,0.2196995616,sien,4b,1,0,easy,random_snippet
8446,1,80.51579725,-0.5411334962,-1.206827888,2.290541482,80.51579725,-0.3500170708,-0.1578725725,0.1807446182,sien,4b,1,0,easy,random_snippet
8447,1,80.71705825,0.4999284598,0.9325730091,0.3271634833,80.71705825,-0.2233789712,0.1652536094,0.2631750405,sien,4b,1,0,easy,random_snippet
8448,1,80.91831925,-0.3490533391,0.3160344046,0.5142462444,80.91831925,-0.2938688993,-0.01896497793,0.2576158047,sien,4b,1,0,easy,random_snippet
8449,1,81.11958058,1.118767359,0.8694938314,0.7974163735,81.11958058,0.3720481098,0.8100042939,0.4338210225,sien,4b,1,0,easy,random_snippet
8450,1,81.32084158,1.581015776,0.6397415257,-0.6528137071,81.32084158,0.5024586916,0.278639257,0.8449642658,sien,4b,1,0,easy,random_snippet
8451,1,81.52210258,0.2070376271,-1.133730676,-1.833617831,81.52210258,0.4756634533,-0.0149299195,-0.2198469341,sien,4b,1,0,easy,random_snippet
8452,1,81.72336258,-0.6988159454,-0.1715695864,-0.2450497913,81.72336258,0.4742452204,-0.3071481884,-0.4303678274,sien,4b,1,0,easy,random_snippet
8453,1,81.92462358,-1.296409279,-0.2453094077,-0.4840898144,81.92462358,0.3006786704,-0.1704489291,-0.1688747704,sien,4b,1,0,easy,random_snippet
8454,1,82.12588421,1.104472671,0.4938961798,0.5287699972,82.12588421,-0.01956488565,-0.3440520465,-0.07576908171,sien,4b,1,0,easy,random_snippet
