,entry_num,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Time (s).1,X (rad/s),Y (rad/s),Z (rad/s),name_climber,grading,num_attempt,fall_top,climbers_rating,outdoor
70,35,14.10388987,-0.4832108317,0.08561902463,-0.8353791288,14.10388987,-0.781026423,-0.3546276689,0.1329036951,sien,5b+,2,1,medium,0
71,35,14.30519387,1.068394766,0.0976216042,0.1671645865,14.30519387,-0.5144117475,-0.2513060272,-0.04052007943,sien,5b+,2,1,medium,0
72,35,14.50649887,0.2273108009,-0.1652984476,-0.1222702494,14.50649887,-0.2174898237,-0.2536353767,-0.01480168663,sien,5b+,2,1,medium,0
73,35,14.7078035,0.9599711613,0.02867240667,-0.9354635802,14.7078035,-0.1024440974,-0.2372882366,-0.1547735333,sien,5b+,2,1,medium,0
74,35,14.9091085,0.2146373995,0.44694947,0.1917911585,14.9091085,-0.0613838993,-0.2310505658,-0.1561427563,sien,5b+,2,1,medium,0
75,35,15.1104125,0.8396647724,0.1166747564,0.4088351257,15.1104125,-0.04729041457,-0.130188778,-0.1258323491,sien,5b+,2,1,medium,0
76,35,15.3117175,0.2572515417,-0.136243633,-0.05527519137,15.3117175,-0.07191377878,0.03604676574,-0.06634071469,sien,5b+,2,1,medium,0
77,35,15.5130225,-0.2297362259,0.2253856051,-0.1871214259,15.5130225,-0.0447595939,-0.02147301659,-0.004028166644,sien,5b+,2,1,medium,0
78,35,15.7143265,-0.721771237,0.3606048059,-0.336338861,15.7143265,0.00283572264,-0.1059335172,0.03528878838,sien,5b+,2,1,medium,0
79,35,15.9156315,-0.3745246875,0.07344804525,0.1661860549,15.9156315,-0.1128096506,-0.0246679578,-0.03901154175,sien,5b+,2,1,medium,0
80,35,16.1169365,-0.5901461003,0.2542813754,0.1399988611,16.1169365,0.1090567857,0.05479225889,-0.01237656269,sien,5b+,2,1,medium,0
81,35,16.3182415,-0.3068178041,0.004918093085,-0.2859696297,16.3182415,0.0974361077,0.1656734496,-0.004547690973,sien,5b+,2,1,medium,0
82,35,16.51954692,-0.08816073619,-0.03026167989,-0.125137724,16.51954692,0.06148061529,0.121746622,0.01084266417,sien,5b+,2,1,medium,0
83,35,16.72085192,0.2665650599,0.01597693205,0.3778912219,16.72085192,0.007470696699,0.05375724286,0.1492806822,sien,5b+,2,1,medium,0
84,35,16.92215692,0.2590319458,-0.2538288009,0.2715446949,16.92215692,0.02578871325,-0.01219246164,0.09248924255,sien,5b+,2,1,medium,0
85,35,17.12346192,-0.06086571425,-0.2604174435,-0.3266909552,17.12346192,0.2936538458,-0.1436197907,-0.01548262872,sien,5b+,2,1,medium,0
86,35,17.32476792,0.2359738894,0.3239228833,0.2265053469,17.32476792,0.6975713372,-0.181802541,0.05603403226,sien,5b+,2,1,medium,0
87,35,17.52607367,-0.5241593946,0.09626329601,0.008737494349,17.52607367,0.6097889543,-0.2953693271,-0.02588176727,sien,5b+,2,1,medium,0
88,35,17.72737867,-0.1938260626,0.05665016413,-0.2285869557,17.72737867,0.5473521352,-0.3194679022,-0.02818670124,sien,5b+,2,1,medium,0
89,35,17.92868367,0.396420756,0.6724221987,-0.8144674391,17.92868367,0.4047189355,-0.6327686906,-0.2305894047,sien,5b+,2,1,medium,0
90,35,18.12998867,-0.6820538785,0.5130925888,0.05660104752,18.12998867,0.5893028975,-0.7272034883,-0.4649542272,sien,5b+,2,1,medium,0
91,35,18.33129467,1.140448835,-0.2756868625,1.354249059,18.33129467,0.6269655824,-0.4164325893,-0.04905038327,sien,5b+,2,1,medium,0
92,35,18.53259829,0.1443069434,0.3209700394,-1.013692601,18.53259829,-0.07878799736,-0.1987015009,-0.1739799976,sien,5b+,2,1,medium,0
93,35,18.73390329,-0.4938265979,-0.3494968504,0.0977707082,18.73390329,-0.3398241997,0.5223915577,-0.1754248589,sien,5b+,2,1,medium,0
94,35,18.93520929,-0.09037368804,-0.4812457287,-0.009684158564,18.93520929,-0.2989476919,0.3918385506,-0.410230428,sien,5b+,2,1,medium,0
95,35,19.13651429,-0.0337109524,-0.7064184952,0.6641594982,19.13651429,-0.2422288805,0.6091477871,-0.5403118134,sien,5b+,2,1,medium,0
96,35,19.33781929,-1.546963347,0.8340333921,-0.9136648679,19.33781929,0.1376696229,-0.3006914556,-0.01257087663,sien,5b+,2,1,medium,0
97,35,19.53912662,1.294603659,0.2614839756,-0.2810569453,19.53912662,0.07929437608,0.07442661375,0.06408965588,sien,5b+,2,1,medium,0
98,35,19.74043163,-0.828764466,0.243700254,1.383598573,19.74043163,0.1068180725,-0.0005507539026,0.1938985288,sien,5b+,2,1,medium,0
99,35,19.94173762,-0.7862970158,1.457070007,-0.2970239371,19.94173762,-0.7083022594,0.6033799648,0.1733463258,sien,5b+,2,1,medium,0
100,35,20.14304263,-0.7890422836,-1.362428729,-0.5885824817,20.14304263,-0.9797310233,0.2165404111,0.02624744922,sien,5b+,2,1,medium,0
101,35,20.34434863,0.06647787184,1.156264676,-0.9922514462,20.34434863,-0.8312794566,-0.3427436352,0.2236432284,sien,5b+,2,1,medium,0
102,35,20.54565267,-0.2255643837,-0.6120257235,-0.3134759554,20.54565267,-0.7174332142,-0.07786095142,0.1820715964,sien,5b+,2,1,medium,0
103,35,20.74695767,-0.2095759034,-0.6999783719,-0.4269800591,20.74695767,-0.1598106921,-0.1870836616,0.2435392439,sien,5b+,2,1,medium,0
104,35,20.94826267,-0.3364901577,-1.273272139,-1.054777185,20.94826267,-0.2239546031,-0.0212224368,0.02170887031,sien,5b+,2,1,medium,0
105,35,21.14956767,0.3917167441,0.05202852488,0.2795929487,21.14956767,0.1306689531,0.4024436176,-0.007168299519,sien,5b+,2,1,medium,0
106,35,21.35087367,0.1821551663,1.124825951,0.07533698827,21.35087367,0.5782642961,0.6005493999,0.001407358795,sien,5b+,2,1,medium,0
107,35,21.55217912,0.9652650842,0.6650412583,-1.096560219,21.55217912,0.5458639264,1.097854733,0.07390296459,sien,5b+,2,1,medium,0
108,35,21.75348413,-2.864211517,0.1110403794,-0.8034518695,21.75348413,0.4197896719,0.2741357088,0.4585928321,sien,5b+,2,1,medium,0
109,35,21.95478912,1.14316165,-2.375034333,0.08428644419,21.95478912,0.4716424942,0.6609811783,0.2895577252,sien,5b+,2,1,medium,0
110,35,22.15609412,-1.069823825,0.6184728634,0.1906829649,22.15609412,0.5843493938,0.2495910227,0.1667782068,sien,5b+,2,1,medium,0
111,35,22.35739913,0.2203920829,0.8536619103,0.2866942459,22.35739913,0.08464602381,0.4813281,0.4533685446,sien,5b+,2,1,medium,0
112,35,22.55870392,-0.3570298183,0.9469776249,0.4897399789,22.55870392,0.0048322496,0.2780414224,0.2379378676,sien,5b+,2,1,medium,0
113,35,22.76000892,-0.4308070618,0.6170303553,0.5767962492,22.76000892,0.2650482357,-0.008876360953,-0.2701406777,sien,5b+,2,1,medium,0
114,35,22.96131392,-0.8104445547,0.5847385222,-0.5318855399,22.96131392,-0.1301981062,-0.05759928375,-0.1406317651,sien,5b+,2,1,medium,0
115,35,23.16261892,1.455025821,-0.09896821797,-0.3814536381,23.16261892,-0.05862683058,0.1968792528,-0.08303592354,sien,5b+,2,1,medium,0
116,35,23.36392492,-1.106732912,-1.095451294,0.3156560898,23.36392492,-0.1921430826,0.4874593914,-0.05779287964,sien,5b+,2,1,medium,0
117,35,23.56523062,0.3364929351,-0.6994100225,0.03510551333,23.56523062,0.03932454437,0.09761563689,0.1380237639,sien,5b+,2,1,medium,0
118,35,23.76653562,-0.61761917,-0.4924694592,0.003277949095,23.76653562,-0.1345715076,0.1723397374,0.02498761937,sien,5b+,2,1,medium,0
119,35,23.96784063,0.3397337544,0.2004215026,0.3941467738,23.96784063,-0.3495709002,-0.3603400886,-0.2218903154,sien,5b+,2,1,medium,0
120,35,24.16914662,0.09542305112,0.7945752114,-0.167386196,24.16914662,-0.430975467,-0.1503883302,-0.1767935604,sien,5b+,2,1,medium,0
121,35,24.37045162,1.325162085,0.167758956,0.5450148779,24.37045162,-0.4610550106,-0.3333878815,-0.03308612108,sien,5b+,2,1,medium,0
122,35,24.57175587,-0.8507771865,0.07774048626,-1.449578262,24.57175587,-0.5526707172,-0.3562707603,-0.1550293714,sien,5b+,2,1,medium,0
123,35,24.77306187,-0.006562330127,-0.3460803223,-0.1733702365,24.77306187,-0.1980770826,-0.09059135616,-0.1995521784,sien,5b+,2,1,medium,0
124,35,24.97436688,-1.326560008,0.3984362912,-0.2008903031,24.97436688,-0.2993986309,-0.5481619239,-0.139171496,sien,5b+,2,1,medium,0
125,35,25.17567187,0.3390692183,-0.4911345398,0.2497626472,25.17567187,0.05799319595,-0.3655830026,-0.1094154567,sien,5b+,2,1,medium,0
126,35,25.37697687,1.250886366,0.3213121015,0.3159110284,25.37697687,0.05285312235,-0.1162886471,-0.3304995894,sien,5b+,2,1,medium,0
127,35,25.578283,0.7023579694,0.4521628475,0.3102482924,25.578283,0.03903509676,-0.2544230223,-0.04057509452,sien,5b+,2,1,medium,0
128,35,25.779588,0.1596661171,0.01874909699,-0.2522254944,25.779588,0.06818730384,-0.03504611179,-0.03500239924,sien,5b+,2,1,medium,0
129,35,25.980893,0.008137204573,-0.238744154,-0.6088983402,25.980893,0.3928310275,-0.02954915166,0.04156707227,sien,5b+,2,1,medium,0
130,35,26.182199,-1.472706631,1.158857916,0.2436698484,26.182199,0.2208413035,-0.1118842289,-0.3903996944,sien,5b+,2,1,medium,0
131,35,26.383504,-0.666487494,1.194567447,0.5261690095,26.383504,0.1964276135,-0.7525492907,-0.2838868201,sien,5b+,2,1,medium,0
132,35,26.58480829,-0.0166996479,1.204207751,-1.103886487,26.58480829,0.09778298438,-0.7816533446,-0.502317071,sien,5b+,2,1,medium,0
133,35,26.78611329,1.64755329,0.08564007461,-0.4605790374,26.78611329,0.2083384991,-0.3140452504,-0.5708899498,sien,5b+,2,1,medium,0
134,35,26.98741829,0.4991007864,-0.7557374203,0.06287160158,26.98741829,0.2106058598,-0.3774205744,-0.2923898697,sien,5b+,2,1,medium,0
