"Time (s)","X (µT)","Y (µT)","Z (µT)"
7.902278371E1,1.570065308E1,-3.828894806E1,5.978698730E-1
7.922406871E1,1.358323669E1,-3.909194946E1,7.450256348E-1
7.942535271E1,1.122142029E1,-3.978073883E1,1.962493896E0
7.962663771E1,1.039067078E1,-4.019971466E1,3.153472900E0
7.982792171E1,8.509292603E0,-4.084426117E1,3.834197998E0
8.002920571E1,6.204086304E0,-4.119746780E1,5.406433105E0
8.023049071E1,5.219512939E0,-4.130834198E1,6.824615479E0
8.043177496E1,6.496948242E0,-4.088760757E1,7.049438477E0
8.063305996E1,6.812622070E0,-4.040185928E1,9.032073975E0
8.083434396E1,7.399307251E0,-3.914553833E1,1.339883423E1
8.103562796E1,9.149826050E0,-3.766644669E1,1.595217896E1
8.123691296E1,1.378297424E1,-3.686817551E1,1.310632324E1
8.143819633E1,1.696380615E1,-3.672223282E1,7.438201904E0
8.163948033E1,1.702253723E1,-3.675576401E1,2.845611572E0
8.184076433E1,1.796559143E1,-3.611685181E1,2.261535645E0
8.204204933E1,1.741369629E1,-3.634797287E1,-1.844512939E0
8.224333333E1,1.984259033E1,-3.479079437E1,-2.344146729E0
8.244461721E1,2.019389343E1,-3.419784164E1,-3.661560059E0
8.264590121E1,2.024324036E1,-3.440311432E1,-3.317108154E0
8.284718521E1,1.938806152E1,-3.484597015E1,-4.428771973E0
8.304846921E1,1.865162659E1,-3.433176422E1,-6.739257812E0
8.324975450E1,1.925741577E1,-3.397233582E1,-7.035186768E0
8.345103850E1,1.977584839E1,-3.402949905E1,-5.326568604E0
8.365232250E1,2.045681763E1,-3.431782532E1,-2.994018555E0
8.385360650E1,1.991889954E1,-3.466233444E1,-2.613616943E0
8.405489150E1,1.952857971E1,-3.514627457E1,-1.338684082E0
8.425617500E1,2.043205261E1,-3.505546188E1,1.158691406E0
8.445745900E1,1.956336975E1,-3.544638824E1,3.206542969E0
8.465874400E1,1.727032471E1,-3.674832916E1,4.401611328E0
8.486002800E1,1.611195374E1,-3.738193893E1,4.908172607E0
8.506131200E1,1.535479736E1,-3.780489349E1,4.762756348E0
8.526259750E1,1.415463257E1,-3.824794388E1,4.912109375E0
8.546388150E1,1.343258667E1,-3.855715561E1,5.272735596E0
8.566516550E1,1.408079529E1,-3.841300201E1,6.129150391E0
