,entry_num,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Time (s).1,X (rad/s),Y (rad/s),Z (rad/s),name_climber,grading,num_attempt,fall_top,climbers_rating
57,15,1970-01-01 00:00:11.676062580,0.5748263222,0.3769056737,0.2078752407,11.67606258,0.08722293377,-0.1190066487,0.1195774302,sien,4c,1,0,easy
58,15,1970-01-01 00:00:11.877357580,-1.121094258,-0.1764455795,0.1701185998,11.87735758,0.3784759939,-0.004559651949,-0.1825057268,sien,4c,1,0,easy
59,15,1970-01-01 00:00:12.078652580,0.721639967,-0.2491463506,-0.6922518611,12.07865258,-0.1042730808,-0.5031627417,-0.742377162,sien,4c,1,0,easy
60,15,1970-01-01 00:00:12.279946580,-0.2430067742,-1.11690122,-0.410881505,12.27994658,0.3957126439,0.8009811044,-0.3272800148,sien,4c,1,0,easy
61,15,1970-01-01 00:00:12.481241580,-0.4598659694,-1.426216589,-2.245938921,12.48124158,0.459142983,1.308478236,-0.4608044028,sien,4c,1,0,easy
62,15,1970-01-01 00:00:12.682536580,-0.5026903921,0.396460517,-0.3730666843,12.68253658,-0.2258552164,0.9928111434,-0.3951771557,sien,4c,1,0,easy
63,15,1970-01-01 00:00:12.883830580,-1.424104283,0.07812230945,0.3696000163,12.88383058,-0.2106953114,0.1791749746,-0.07791673392,sien,4c,1,0,easy
64,15,1970-01-01 00:00:13.085125330,-1.828716403,0.04791559339,-1.276582686,13.08512533,-0.5200133324,-0.5565310121,-0.2678117454,sien,4c,1,0,easy
65,15,1970-01-01 00:00:13.286419330,0.0004683619738,-0.4967817807,0.4150903308,13.28641933,-0.7303310633,-1.34933424,-0.4885935187,sien,4c,1,0,easy
66,15,1970-01-01 00:00:13.487713330,1.537112835,0.06516137123,-0.8671164266,13.48771333,-1.049985051,-1.353543401,-0.3147039115,sien,4c,1,0,easy
67,15,1970-01-01 00:00:13.689008330,0.02360871792,-0.9540936863,-0.480879693,13.68900833,-0.700037837,-1.129591107,-0.2381777018,sien,4c,1,0,easy
68,15,1970-01-01 00:00:13.890302330,-0.6640609726,-1.885287337,-1.048326244,13.89030233,-0.2880197465,-0.5901864767,-0.06953261048,sien,4c,1,0,easy
69,15,1970-01-01 00:00:14.091597960,-0.2912498116,-0.8764210278,-0.4861910114,14.09159796,-0.2401515692,0.0858887583,0.02960383706,sien,4c,1,0,easy
70,15,1970-01-01 00:00:14.292891960,0.3965379927,0.406080941,-0.7884701335,14.29289196,0.07220120728,0.2658675313,0.113357693,sien,4c,1,0,easy
71,15,1970-01-01 00:00:14.494186960,0.1133058831,-0.1644190264,0.03836475134,14.49418696,0.04888715595,-0.00222752057,0.07641422004,sien,4c,1,0,easy
72,15,1970-01-01 00:00:14.695480960,-0.2123083073,0.5760372806,-0.315168432,14.69548096,0.3120681345,-0.02048478648,0.4597733021,sien,4c,1,0,easy
73,15,1970-01-01 00:00:14.896775960,-0.4544815609,-1.621879628,0.4495139126,14.89677596,0.3948470354,0.1250131577,0.2161772698,sien,4c,1,0,easy
74,15,1970-01-01 00:00:15.098069500,1.486550499,-0.5870434946,0.2684975646,15.0980695,0.2492296845,0.8851121664,0.375977844,sien,4c,1,0,easy
75,15,1970-01-01 00:00:15.299363500,0.4915409213,1.540034981,0.2081140995,15.2993635,0.1443597525,1.457140803,0.9470389485,sien,4c,1,0,easy
76,15,1970-01-01 00:00:15.500658500,0.5826224148,0.7344594026,0.4083666176,15.5006585,-0.05691586062,0.5816609859,0.6884498,sien,4c,1,0,easy
77,15,1970-01-01 00:00:15.701952500,-0.3005252498,0.003762098551,-0.4208346355,15.7019525,0.1352252364,0.4066420197,0.3784736693,sien,4c,1,0,easy
78,15,1970-01-01 00:00:15.903247500,-1.080556097,0.2861644882,-0.8239276493,15.9032475,0.273889333,0.1263130307,0.4785611331,sien,4c,1,0,easy
79,15,1970-01-01 00:00:16.104542330,-1.05686084,-0.2627738714,-0.1151574039,16.10454233,0.3405628204,-0.07763963938,0.07578309625,sien,4c,1,0,easy
80,15,1970-01-01 00:00:16.305837330,-0.1306823462,-0.1637425035,-0.2600397134,16.30583733,0.1121802852,-0.4659009576,-0.062136136,sien,4c,1,0,easy
81,15,1970-01-01 00:00:16.507132330,1.262123253,0.518022961,0.4039024146,16.50713233,0.3460475504,-0.4483762383,-0.3138016462,sien,4c,1,0,easy
82,15,1970-01-01 00:00:16.708428330,-0.02590842783,-0.2358129448,0.4798880053,16.70842833,0.2943418324,-0.8562834263,-0.6058810949,sien,4c,1,0,easy
83,15,1970-01-01 00:00:16.909723329,0.1706834409,-0.3325054264,0.499777894,16.90972333,0.1176429614,-0.5674576759,-0.7467775941,sien,4c,1,0,easy
84,15,1970-01-01 00:00:17.111019249,0.2365081787,-0.2204482162,0.9357414691,17.11101925,0.257091105,0.306956768,-0.4369178414,sien,4c,1,0,easy
85,15,1970-01-01 00:00:17.312314250,-0.04421255171,0.2491697395,0.9405503654,17.31231425,0.4630957842,0.2901220918,-0.5715476871,sien,4c,1,0,easy
86,15,1970-01-01 00:00:17.513610250,-0.1117908695,0.517298491,-0.3604843533,17.51361025,0.1220611185,-0.002505639335,-1.083172798,sien,4c,1,0,easy
87,15,1970-01-01 00:00:17.714906250,-1.045414039,-0.217311185,-0.6802179989,17.71490625,-0.1319321841,-0.4880890548,-0.8277660608,sien,4c,1,0,easy
88,15,1970-01-01 00:00:17.916201250,0.2494204389,-0.2801477033,0.07302134469,17.91620125,-0.05922317132,-0.6445991993,-0.5136321783,sien,4c,1,0,easy
89,15,1970-01-01 00:00:18.117497130,-1.098400045,-0.03807823777,-0.7422081327,18.11749713,-0.221574232,-0.3160962462,-0.1430442631,sien,4c,1,0,easy
90,15,1970-01-01 00:00:18.318793120,0.3826441312,-0.4710499388,-0.3822487863,18.31879312,7.561640814e-05,-0.2235028297,-0.01647914574,sien,4c,1,0,easy
91,15,1970-01-01 00:00:18.520089120,0.07666664511,-0.2190986788,-0.4809369957,18.52008912,0.3330544829,-0.05802254751,-0.07581943274,sien,4c,1,0,easy
92,15,1970-01-01 00:00:18.721384130,0.1229590514,-0.4183624327,0.1130081137,18.72138413,0.5820299387,-0.08992600441,0.0356827192,sien,4c,1,0,easy
93,15,1970-01-01 00:00:18.922680120,0.3978053766,-1.434112085,0.7360527688,18.92268012,0.2403411418,0.03149897233,-0.007475127466,sien,4c,1,0,easy
94,15,1970-01-01 00:00:19.123976830,-0.4573605837,-0.6329610944,-1.101955445,19.12397683,0.4810808897,0.3208363056,0.1842908412,sien,4c,1,0,easy
95,15,1970-01-01 00:00:19.325272830,-0.03903630406,-0.1395052099,-1.05041487,19.32527283,0.4351727366,0.1948911101,0.2284078449,sien,4c,1,0,easy
96,15,1970-01-01 00:00:19.526568830,0.02598561108,0.5074050021,-1.028167384,19.52656883,-0.2536723614,0.1102635339,0.3254744411,sien,4c,1,0,easy
97,15,1970-01-01 00:00:19.727864830,0.7436781228,0.02147214532,-0.4459063268,19.72786483,-0.6928444505,0.2413796484,0.8217793107,sien,4c,1,0,easy
98,15,1970-01-01 00:00:19.929160830,-1.702171985,-1.41515775,0.2761571248,19.92916083,-0.6945189834,-0.2517968416,0.9054302573,sien,4c,1,0,easy
99,15,1970-01-01 00:00:20.130457120,-1.277731225,-0.6957479113,2.595636331,20.13045712,-0.3177874982,-0.4184222221,0.3040269613,sien,4c,1,0,easy
100,15,1970-01-01 00:00:20.331754120,2.421091096,-0.5834784472,1.322064668,20.33175412,-0.1106440052,0.1955667585,0.4742691219,sien,4c,1,0,easy
